id,isPaid,createdAt,updatedAt,buyOrder,userId,coursesIds
c3c38c36-c9b2-419b-8ee7-0e6aa755b3f3,f,2024-08-08 01:31:07.133+00,2024-08-08 01:31:07.133+00,f8a11c506bc07a5941e8bca3f4,1df46571-5bbd-4341-bcd2-f20938bf7b0d,"{be766134-111b-4a83-afdd-d6c54596d486,caa12af6-8d12-42e6-985d-82190eb650ec,3857b311-0df8-462f-a042-6a560f3528eb}"
63b9765d-5665-4e0b-b7cc-c052de08d1f0,f,2024-08-08 01:31:22.047+00,2024-08-08 01:31:22.047+00,5b9cdbd1ba88f421e9d1e108c8,535c6f95-87c3-4981-afaa-7b64957b7f46,"{be766134-111b-4a83-afdd-d6c54596d486,880369a6-6b14-4a6b-b3cb-4aaabc33369a,f5fb2002-9ed8-4520-99ef-46df7e453375}"
346b5c2b-f549-43c5-ba89-c95598cb99b4,f,2024-08-08 01:31:32.578+00,2024-08-08 01:31:32.578+00,f4c032f1e83318cd7292411755,1df46571-5bbd-4341-bcd2-f20938bf7b0d,"{be766134-111b-4a83-afdd-d6c54596d486,caa12af6-8d12-42e6-985d-82190eb650ec}"
d64dc304-c882-4a0b-88ff-172975da3d45,f,2024-08-08 01:31:40.452+00,2024-08-08 01:31:40.452+00,1ccd6121a9aac14f668c62b645,b3b1cc00-f493-44c4-bb6a-975c5c2d3a04,{}
ca7f078c-322e-42c8-b97a-92320a4c3e2b,f,2024-08-08 01:33:21.534+00,2024-08-08 01:33:21.534+00,258e60be672036327154027453,b3b1cc00-f493-44c4-bb6a-975c5c2d3a04,"{be766134-111b-4a83-afdd-d6c54596d486,caa12af6-8d12-42e6-985d-82190eb650ec,3857b311-0df8-462f-a042-6a560f3528eb}"
18da8b29-ecfc-4644-82a3-f778a07fec98,t,2024-08-08 01:35:23.637+00,2024-08-08 01:35:51.287+00,90dad219f190c65227104ef0ae,1df46571-5bbd-4341-bcd2-f20938bf7b0d,{d7bbc939-aa73-4767-8941-1e76151b3451}
cbed1b29-1c14-49e2-b4f6-938644281834,t,2024-08-08 01:37:27.761+00,2024-08-08 01:39:13.064+00,6389d1bcf5490968b83352fcec,61a4310f-f57a-4b4b-95e4-552366566a60,"{57e069f8-7059-4d2f-83d6-3f16f7aa0938,caa12af6-8d12-42e6-985d-82190eb650ec,3857b311-0df8-462f-a042-6a560f3528eb}"
cc5f1ef0-169d-436c-884b-fdc931cdb193,t,2024-08-08 01:38:49.534+00,2024-08-08 01:39:24.923+00,22ebaac322850eb7ee421defc8,afbfbe30-7979-41a7-8c22-0e5771d83673,"{be766134-111b-4a83-afdd-d6c54596d486,880369a6-6b14-4a6b-b3cb-4aaabc33369a,3857b311-0df8-462f-a042-6a560f3528eb}"
c1d4d229-b9af-44d9-87c9-40cda4f57cb1,t,2024-08-08 01:38:15.516+00,2024-08-08 01:39:35.33+00,cce0d1279f1a5dd5bdcc9f7580,fe7acff1-e9e6-40e6-84c6-de538e36ab5d,"{57e069f8-7059-4d2f-83d6-3f16f7aa0938,880369a6-6b14-4a6b-b3cb-4aaabc33369a}"
64c2ea14-c22f-474e-8548-0ad8b05d9c6b,t,2024-08-08 01:38:17.765+00,2024-08-08 01:39:35.389+00,c95cc30a8ea747989ca6200164,cd1d2b49-ce2f-4c3f-a90a-5e03975c7fa8,"{be766134-111b-4a83-afdd-d6c54596d486,880369a6-6b14-4a6b-b3cb-4aaabc33369a,3857b311-0df8-462f-a042-6a560f3528eb}"
021cbf06-2b1e-4330-a613-668df64205d0,f,2024-08-08 01:39:44.823+00,2024-08-08 01:39:44.823+00,3c1c91ecf0bdf1edae6d063194,db3b399c-ed14-46fe-aa04-783a344d3ba2,"{57e069f8-7059-4d2f-83d6-3f16f7aa0938,880369a6-6b14-4a6b-b3cb-4aaabc33369a}"
005daca5-744f-4070-a765-3cd424a7a8c7,t,2024-08-08 01:38:14.821+00,2024-08-08 01:39:48.271+00,02dee2e260b0c53a59f0d46c24,7bb4b950-9ffd-408a-8d9a-4688db975605,"{be766134-111b-4a83-afdd-d6c54596d486,880369a6-6b14-4a6b-b3cb-4aaabc33369a,f5fb2002-9ed8-4520-99ef-46df7e453375}"
